content,source,rating,date,sentiment_label,sentiment_score,category,priority_score
not bad,google_play,2,2026-02-23 14:58:55,positive,0.431,Other,0.0
Great,google_play,5,2026-02-22 14:58:49,positive,0.6249,Other,0.0
good,google_play,5,2026-02-21 14:58:39,positive,0.4404,Other,0.0
my whatsapp account got logout out without permission,google_play,1,2026-02-20 14:58:35,neutral,0.0,Other,0.0
best,google_play,5,2026-02-19 14:58:30,positive,0.6369,Other,0.0
good,google_play,2,2026-02-18 14:58:19,positive,0.4404,Other,0.0
good,google_play,5,2026-02-17 14:58:15,positive,0.4404,Other,0.0
I think it is good.,google_play,5,2026-02-23 14:58:12,positive,0.4404,Other,0.0
Nice 👍🙂,google_play,5,2026-02-22 14:58:10,positive,0.4215,Other,0.0
"Hello whatsapp team, my account was banned and I'd like to request a review ibelieve this was a mistake """,google_play,5,2026-02-21 14:58:09,negative,-0.4404,Feature Request,103.71
so why u banned me for NOTING😡😡😡,google_play,1,2026-02-20 14:57:51,negative,-0.507,Other,2819.15
bad,google_play,1,2026-02-19 14:57:42,negative,-0.5423,Other,2820.15
its best communication app,google_play,5,2026-02-18 14:57:41,positive,0.6369,Other,0.0
"I love this app,,no any ads interference",google_play,5,2026-02-17 14:57:36,positive,0.6369,Other,0.0
good 😊😊,google_play,5,2026-02-23 14:57:31,positive,0.4404,Other,0.0
it's good,google_play,3,2026-02-22 14:57:31,positive,0.4404,Other,0.0
It's quick and fast,google_play,1,2026-02-21 14:57:29,neutral,0.0,Performance,0.0
Very very good! The best online messaging app!,google_play,5,2026-02-20 14:57:20,positive,0.8375,Other,0.0
very good,google_play,5,2026-02-19 14:57:04,positive,0.4927,Other,0.0
"So far,it's been my most reliable and convenient app.",google_play,5,2026-02-18 14:57:00,neutral,0.0,Other,0.0
😍,google_play,5,2026-02-17 14:57:00,neutral,0.0,Other,0.0
good,google_play,3,2026-02-23 14:56:55,positive,0.4404,Other,0.0
good but if u hide one account u can't see that they have messaged you and status hidden policy if u hide someone they can still see it,google_play,4,2026-02-22 14:56:54,negative,-0.2846,Other,2805.25
Whatsapp is boring,google_play,5,2026-02-21 14:56:54,negative,-0.3182,Other,2806.91
it's a nice app but it's not secure enough,google_play,4,2026-02-20 14:56:51,negative,-0.1665,Other,2795.54
excellent,google_play,5,2026-02-19 14:56:47,positive,0.5719,Other,0.0
excellent,google_play,5,2026-02-18 14:56:31,positive,0.5719,Other,0.0
Cool 😎,google_play,5,2026-02-17 14:56:28,positive,0.3182,Other,0.0
super,google_play,5,2026-02-23 14:56:26,positive,0.5994,Other,0.0
good,google_play,5,2026-02-22 14:56:24,positive,0.4404,Other,0.0
"Imagine paying for calls, video calls, pictures & video's....? 🤔💭 WhatsApp is 👍🏾👍🏾👍🏾",google_play,5,2026-02-21 14:56:23,neutral,0.0,Other,0.0
it's a good media,google_play,5,2026-02-20 14:56:06,positive,0.4404,Other,0.0
best,google_play,5,2026-02-19 14:56:04,positive,0.6369,Other,0.0
"Whatsapp allows cyberbullying, because someone reported my friend 3 times and he got banned from Whatsapp, my friend literally didn't do anything illegal or violate any laws, it was just one of his course mates that was bullying him, threatening him he would banned his Whatsapp and he got away with it thanks to Whatsapp officials",google_play,3,2026-02-18 14:56:02,negative,-0.6458,Other,2825.33
Good parfametion What's App,google_play,5,2026-02-17 14:55:52,positive,0.4404,Other,0.0
great,google_play,4,2026-02-23 14:55:51,positive,0.6249,Other,0.0
Good,google_play,5,2026-02-22 14:55:47,positive,0.4404,Other,0.0
ok,google_play,2,2026-02-21 14:55:36,positive,0.296,Other,0.0
terbaik,google_play,5,2026-02-20 14:55:35,neutral,0.0,Other,0.0
good,google_play,5,2026-02-19 14:55:32,positive,0.4404,Other,0.0
This is the best messaging app I've ever come across,google_play,5,2026-02-18 14:55:19,positive,0.6369,Other,0.0
useful app but plzz find scammer,google_play,5,2026-02-17 14:55:13,positive,0.2382,Other,0.0
👌 ok,google_play,5,2026-02-23 14:54:53,positive,0.296,Other,0.0
this app is very genius and genuine,google_play,5,2026-02-22 14:54:49,neutral,0.0,UI/UX,0.0
interesting,google_play,4,2026-02-21 14:54:41,positive,0.4019,Other,0.0
good,google_play,5,2026-02-20 14:54:40,positive,0.4404,Other,0.0
ok,google_play,5,2026-02-19 14:54:37,positive,0.296,Other,0.0
good,google_play,5,2026-02-18 14:54:33,positive,0.4404,Other,0.0
best,google_play,5,2026-02-17 14:54:32,positive,0.6369,Other,0.0
good,google_play,5,2026-02-23 14:54:30,positive,0.4404,Other,0.0
excellent,google_play,5,2026-02-22 14:54:14,positive,0.5719,Other,0.0
best 2,google_play,5,2026-02-21 14:54:13,positive,0.6369,Other,0.0
nice,google_play,5,2026-02-20 14:54:08,positive,0.4215,Other,0.0
নাইস,google_play,5,2026-02-19 14:54:06,neutral,0.0,Other,0.0
"It's good but we need higher resolution video and photo support as an option to send it for friends and family, hope whatsapp be free forever and make all people happy! Thank you!",google_play,3,2026-02-18 14:54:05,positive,0.9804,Feature Request,0.0
I'm only here because people refuse to use signal,google_play,1,2026-02-17 14:54:00,negative,-0.296,Other,2802.15
Excellent,google_play,5,2026-02-23 14:53:33,positive,0.5719,Other,0.0
whatsapp going to slow,google_play,1,2026-02-22 14:53:33,neutral,0.0,Performance,0.0
love it ♥️♥️👌,google_play,5,2026-02-21 14:53:26,positive,0.6369,Other,0.0
I ओलवेज वेलकम Hi,google_play,5,2026-02-20 14:53:12,neutral,0.0,Other,0.0
I have been trying to login into my account but it is not working tell me why am really getting tired right now,google_play,5,2026-02-19 14:53:05,negative,-0.6448,Bug,120.99
"The App is reliable, the team are honest with what they are doing for others, the app improve others, uplift others and leave meaningful impact wether in school, home, friendship or Society.",google_play,1,2026-02-18 14:53:00,positive,0.8807,Other,0.0
