content,source,rating,date,sentiment_label,sentiment_score,category,priority_score
video not cliyar,google_play,1,2026-02-23 15:28:32,neutral,0.0,Other,0.0
a very good app,google_play,4,2026-02-22 15:28:21,positive,0.4927,Other,0.0
I love it,google_play,5,2026-02-21 15:28:19,positive,0.6369,Other,0.0
Good 👍,google_play,5,2026-02-20 15:28:11,positive,0.4404,Other,0.0
sorry 😌,google_play,5,2026-02-19 15:28:04,negative,-0.0772,Other,2795.15
can't save contact in WhatsApp. and whatsapp contact not synchronizing with phone contact. i think after mew WhatsApp update,google_play,1,2026-02-18 15:27:39,negative,-0.3875,Other,2814.8
when uploading status videos. It shows the video blurry after being uploaded* although I set everything on HD quality,google_play,3,2026-02-17 15:27:32,negative,-0.1027,Performance,57.3
this app is best compare to other apps👍,google_play,5,2026-02-23 15:27:28,positive,0.6369,Other,0.0
good,google_play,4,2026-02-22 15:27:26,positive,0.4404,Other,0.0
excellent💯,google_play,5,2026-02-21 15:27:25,neutral,0.0,Other,0.0
This app is really good,google_play,5,2026-02-20 15:27:16,positive,0.4927,Other,0.0
it's been a great experience using the app 😋😋,google_play,5,2026-02-19 15:27:16,positive,0.6249,Other,0.0
gud,google_play,5,2026-02-18 15:27:09,neutral,0.0,Other,0.0
good,google_play,5,2026-02-17 15:26:39,positive,0.4404,Other,0.0
good,google_play,5,2026-02-23 15:26:34,positive,0.4404,Other,0.0
I LOVE THIS APP,google_play,5,2026-02-22 15:26:29,positive,0.6369,Other,0.0
it's awesome 👌,google_play,5,2026-02-21 15:26:23,positive,0.6249,Other,0.0
easier and faster,google_play,5,2026-02-20 15:26:22,positive,0.4215,Performance,0.0
it's good,google_play,5,2026-02-19 15:26:22,positive,0.4404,Other,0.0
call recording,google_play,5,2026-02-18 15:26:20,neutral,0.0,Other,0.0
💞💞,google_play,5,2026-02-17 15:26:16,neutral,0.0,Other,0.0
Saya suka versi WhatsApp yg terkini dan memudahkan saya dlm berinteraksi bersama keluarga dan kawan-kawan..,google_play,5,2026-02-23 15:26:09,neutral,0.0,Other,0.0
very good app,google_play,5,2026-02-22 15:26:03,positive,0.4927,Other,0.0
good,google_play,5,2026-02-21 15:26:01,positive,0.4404,Other,0.0
very good,google_play,5,2026-02-20 15:25:44,positive,0.4927,Other,0.0
Best suitable APP,google_play,5,2026-02-19 15:25:43,positive,0.6369,UI/UX,0.0
nice,google_play,5,2026-02-18 15:25:27,positive,0.4215,Other,0.0
it is good network,google_play,5,2026-02-17 15:25:23,positive,0.4404,Other,0.0
Nic,google_play,5,2026-02-23 15:25:21,neutral,0.0,Other,0.0
best app,google_play,5,2026-02-22 15:25:17,positive,0.6369,Other,0.0
Good,google_play,5,2026-02-21 15:25:17,positive,0.4404,Other,0.0
will not reinstall for me,google_play,2,2026-02-20 15:24:46,neutral,0.0,Other,0.0
"Bad! not sure whose brain was behind bringing the idea of a short limited 'about' section. Making it timed was still understandable but bringing a limit to the number of words has really spoiled it for me. I'll use less of WhatsApp because of this. It isn't a rocket science to understand, ppl like to upload lengthy About messages..not such short ones. Please bring back that feature if possible.",google_play,2,2026-02-19 15:24:31,negative,-0.0595,Feature Request,72.97
I'm not happy,google_play,1,2026-02-18 15:24:17,negative,-0.4585,Other,2819.34
latest version drains battery in background. 76% of battery used for 11 min screentime and 2h 14 min background,google_play,1,2026-02-17 15:23:48,neutral,0.0,Performance,0.0
good,google_play,5,2026-02-23 15:23:34,positive,0.4404,Other,0.0
bohot badhiya he,google_play,5,2026-02-22 15:23:24,neutral,0.0,Other,0.0
Good work,google_play,5,2026-02-21 15:23:00,positive,0.4404,Other,0.0
perfect apps,google_play,5,2026-02-20 15:22:55,positive,0.5719,Other,0.0
good,google_play,5,2026-02-19 15:22:53,positive,0.4404,Other,0.0
your the best,google_play,5,2026-02-18 15:22:39,positive,0.6369,Other,0.0
"could use more customization options like insta but overall its perfectly, gets the job done👌.",google_play,4,2026-02-17 15:22:23,positive,0.8263,Other,0.0
good,google_play,5,2026-02-23 15:22:18,positive,0.4404,Other,0.0
"v,important",google_play,5,2026-02-22 15:22:13,neutral,0.0,Other,0.0
"telegram ainda superior, só uso esse app obrigada porque a maioria no Brasil usa. Se você desinstalar, perde conversas e figurinhas salvas e não tem uma função de agendar mensagem.",google_play,3,2026-02-21 15:22:09,positive,0.3182,Other,0.0
thik h ♥️♥️♥️♥️,google_play,2,2026-02-20 15:22:07,neutral,0.0,Other,0.0
Best,google_play,5,2026-02-19 15:22:01,positive,0.6369,Other,0.0
good,google_play,5,2026-02-18 15:21:24,positive,0.4404,Other,0.0
broadcast messages limit should not be there,google_play,1,2026-02-17 15:21:19,neutral,0.0,Other,0.0
good,google_play,5,2026-02-23 15:20:39,positive,0.4404,Other,0.0
super,google_play,5,2026-02-22 15:20:22,positive,0.5994,Other,0.0
nice,google_play,5,2026-02-21 15:20:17,positive,0.4215,Other,0.0
thank whatsapp tem ne🙏🔥🙌🥰,google_play,5,2026-02-20 15:20:16,positive,0.3612,Other,0.0
nice,google_play,5,2026-02-19 15:20:13,positive,0.4215,Other,0.0
good app,google_play,5,2026-02-18 15:20:10,positive,0.4404,Other,0.0
good app,google_play,5,2026-02-17 15:19:58,positive,0.4404,Other,0.0
very nice,google_play,5,2026-02-23 15:19:53,positive,0.4754,Other,0.0
Finest,google_play,5,2026-02-22 15:19:39,neutral,0.0,Other,0.0
वेरी वेरी नाइस,google_play,5,2026-02-21 15:19:34,neutral,0.0,Other,0.0
