content,source,rating,date,sentiment_label,sentiment_score,category,priority_score
Great app,google_play,5,2026-02-23 10:29:27,positive,0.6249,Other,0.0
useful,google_play,5,2026-02-23 10:29:22,positive,0.4404,Other,0.0
nice,google_play,5,2026-02-23 10:29:20,positive,0.4215,Other,0.0
very nice,google_play,5,2026-02-23 10:29:16,positive,0.4754,Other,0.0
I keep hearing echoes in the background when I am making Whatsapp voice calls and video calls,google_play,1,2026-02-23 10:29:10,neutral,0.0,Other,0.0
best,google_play,5,2026-02-23 10:28:57,positive,0.6369,Other,0.0
very good 👍,google_play,5,2026-02-23 10:28:52,positive,0.4927,Other,0.0
Good,google_play,5,2026-02-23 10:28:47,positive,0.4404,Other,0.0
good,google_play,5,2026-02-23 10:28:45,positive,0.4404,Other,0.0
ok good,google_play,5,2026-02-23 10:28:23,positive,0.6249,Other,0.0
बहुत अच्छा,google_play,5,2026-02-23 10:28:14,neutral,0.0,Other,0.0
WhatsApp application really good application,google_play,5,2026-02-23 10:28:12,positive,0.4927,Other,0.0
छान,google_play,3,2026-02-23 10:28:10,neutral,0.0,Other,0.0
I got restricted and I got emergency,google_play,1,2026-02-23 10:28:07,negative,-0.6369,Other,619.25
good,google_play,5,2026-02-23 10:27:59,positive,0.4404,Other,0.0
nice 👍,google_play,5,2026-02-23 10:27:58,positive,0.4215,Other,0.0
good,google_play,4,2026-02-23 10:27:55,positive,0.4404,Other,0.0
good for communication,google_play,5,2026-02-23 10:27:52,positive,0.4404,Other,0.0
👍,google_play,4,2026-02-23 10:27:46,neutral,0.0,Other,0.0
good,google_play,5,2026-02-23 10:27:44,positive,0.4404,Other,0.0
good,google_play,5,2026-02-23 10:27:38,positive,0.4404,Other,0.0
good,google_play,5,2026-02-23 10:27:38,positive,0.4404,Other,0.0
good,google_play,5,2026-02-23 10:27:38,positive,0.4404,Other,0.0
call connecting problem I will try to call to anyone on watsapp it's showing connecting problem please fix this issue as soon as possible,google_play,4,2026-02-23 10:27:38,negative,-0.4767,Bug,48.86
good work 👍🏻,google_play,5,2026-02-23 10:27:36,positive,0.4404,Other,0.0
good,google_play,5,2026-02-23 10:27:35,positive,0.4404,Other,0.0
nice,google_play,1,2026-02-23 10:27:32,positive,0.4215,Other,0.0
Excellent,google_play,2,2026-02-23 10:27:29,positive,0.5719,Other,0.0
very good,google_play,5,2026-02-23 10:27:24,positive,0.4927,Other,0.0
"is good, good ,good is good is nice.",google_play,5,2026-02-23 10:27:18,positive,0.9246,Other,0.0
Good,google_play,5,2026-02-23 10:27:13,positive,0.4404,Other,0.0
ماشاءالله,google_play,5,2026-02-23 10:27:08,neutral,0.0,Other,0.0
nice,google_play,1,2026-02-23 10:26:45,positive,0.4215,Other,0.0
good 👍,google_play,5,2026-02-23 10:26:44,positive,0.4404,Other,0.0
This is the best app I've ever seen it helps to connect with a lot of friends,google_play,5,2026-02-23 10:26:44,positive,0.872,Other,0.0
It's wonderful to communicate with WhatsApp.,google_play,5,2026-02-23 10:26:37,positive,0.5719,Other,0.0
Excellent,google_play,5,2026-02-23 10:26:36,positive,0.5719,Other,0.0
fire,google_play,5,2026-02-23 10:26:33,negative,-0.34,Other,596.29
good happy,google_play,5,2026-02-23 10:26:20,positive,0.765,Other,0.0
great,google_play,5,2026-02-23 10:26:19,positive,0.6249,Other,0.0
good,google_play,5,2026-02-23 10:26:14,positive,0.4404,Other,0.0
good,google_play,5,2026-02-23 10:26:02,positive,0.4404,Other,0.0
good source this one,google_play,4,2026-02-23 10:25:47,positive,0.4404,Other,0.0
phoukham,google_play,5,2026-02-23 10:25:34,neutral,0.0,Other,0.0
improve how we can download whatsapp status,google_play,5,2026-02-23 10:25:23,positive,0.4404,Other,0.0
good,google_play,5,2026-02-23 10:25:05,positive,0.4404,Other,0.0
very good,google_play,5,2026-02-23 10:24:58,positive,0.4927,Other,0.0
good,google_play,3,2026-02-23 10:24:56,positive,0.4404,Other,0.0
Mera watssup suspend kar diya he hamesa ke liye kiya reason he mujhe patao me paresan hu,google_play,1,2026-02-23 10:24:45,negative,-0.3182,Other,594.61
can you let me know if somebody is using AI,google_play,4,2026-02-23 10:24:44,neutral,0.0,Other,0.0
Very useful apps,google_play,5,2026-02-23 10:24:26,positive,0.4927,Other,0.0
good 👍,google_play,3,2026-02-23 10:24:24,positive,0.4404,Other,0.0
Very nice,google_play,5,2026-02-23 10:24:17,positive,0.4754,Other,0.0
good,google_play,4,2026-02-23 10:24:08,positive,0.4404,Other,0.0
good 👍,google_play,5,2026-02-23 10:23:48,positive,0.4404,Other,0.0
good,google_play,5,2026-02-23 10:23:47,positive,0.4404,Other,0.0
nice,google_play,5,2026-02-23 10:23:39,positive,0.4215,Other,0.0
mantappp,google_play,5,2026-02-23 10:23:36,neutral,0.0,Other,0.0
🌹,google_play,5,2026-02-23 10:23:35,neutral,0.0,Other,0.0
good,google_play,5,2026-02-23 10:23:33,positive,0.4404,Other,0.0
bahut achcha,google_play,5,2026-02-23 10:23:26,neutral,0.0,Other,0.0
could be better but it's free,google_play,5,2026-02-23 10:23:12,positive,0.7506,Other,0.0
good,google_play,5,2026-02-23 10:23:11,positive,0.4404,Other,0.0
good app,google_play,5,2026-02-23 10:23:07,positive,0.4404,Other,0.0
I'm so happy,google_play,5,2026-02-23 10:22:59,positive,0.6115,Other,0.0
very helpful for any fast info give to others mean a fast service,google_play,5,2026-02-23 10:22:55,positive,0.4754,Performance,0.0
very cool,google_play,5,2026-02-23 10:22:35,positive,0.3804,Other,0.0
good,google_play,4,2026-02-23 10:22:35,positive,0.4404,Other,0.0
👍,google_play,4,2026-02-23 10:22:32,neutral,0.0,Other,0.0
❣️,google_play,5,2026-02-23 10:22:30,neutral,0.0,Other,0.0
emergency call only,google_play,5,2026-02-23 10:22:26,negative,-0.3818,Other,599.53
very nice 👍 good All facilities this app thanks 🙏 whatsapp,google_play,5,2026-02-23 10:21:57,positive,0.847,Other,0.0
very good,google_play,5,2026-02-23 10:21:50,positive,0.4927,Other,0.0
so good 💯,google_play,5,2026-02-23 10:21:49,positive,0.4927,Other,0.0
good,google_play,4,2026-02-23 10:21:49,positive,0.4404,Other,0.0
good app,google_play,5,2026-02-23 10:21:44,positive,0.4404,Other,0.0
